"ep0/time","fiery-meadow-18 - _step","fiery-meadow-18 - _step__MIN","fiery-meadow-18 - _step__MAX","fiery-meadow-18 - ep0/nusselt_obs","fiery-meadow-18 - ep0/nusselt_obs__MIN","fiery-meadow-18 - ep0/nusselt_obs__MAX"
"553.5","368","368","368","6.191128920399202","6.191128920399202","6.191128920399202"
"555","369","369","369","13.1590396695405","13.1590396695405","13.1590396695405"
"556.5","370","370","370","35.80402925349068","35.80402925349068","35.80402925349068"
"558","371","371","371","15.134090520169414","15.134090520169414","15.134090520169414"
"559.5","372","372","372","12.300839801508841","12.300839801508841","12.300839801508841"
"561","373","373","373","23.7149932654839","23.7149932654839","23.7149932654839"
"562.5","374","374","374","26.509737288573863","26.509737288573863","26.509737288573863"
"564","375","375","375","11.433050937795056","11.433050937795056","11.433050937795056"
"565.5","376","376","376","18.278106763380183","18.278106763380183","18.278106763380183"
"567","377","377","377","30.582562801926954","30.582562801926954","30.582562801926954"
"568.5","378","378","378","11.291326853525065","11.291326853525065","11.291326853525065"
"570","379","379","379","12.82546772017315","12.82546772017315","12.82546772017315"
"571.5","380","380","380","31.48306941996417","31.48306941996417","31.48306941996417"
