"ep4/time","daily-salad-26 - _step","daily-salad-26 - _step__MIN","daily-salad-26 - _step__MAX","daily-salad-26 - ep4/nusselt_obs","daily-salad-26 - ep4/nusselt_obs__MIN","daily-salad-26 - ep4/nusselt_obs__MAX"
"213","941","941","941","3.193478224846881","3.193478224846881","3.193478224846881"
"214.5","942","942","942","3.341537515630227","3.341537515630227","3.341537515630227"
"216","943","943","943","3.458841456129937","3.458841456129937","3.458841456129937"
"217.5","944","944","944","2.9676612824216835","2.9676612824216835","2.9676612824216835"
"219","945","945","945","2.566624773596562","2.566624773596562","2.566624773596562"
"220.5","946","946","946","2.5322913352139333","2.5322913352139333","2.5322913352139333"
"222","947","947","947","3.0854062503308075","3.0854062503308075","3.0854062503308075"
"223.5","948","948","948","3.4579135843293534","3.4579135843293534","3.4579135843293534"
"225","949","949","949","3.0828071495766705","3.0828071495766705","3.0828071495766705"
"226.5","950","950","950","2.9537846588726135","2.9537846588726135","2.9537846588726135"
"228","951","951","951","3.317549364719876","3.317549364719876","3.317549364719876"
"229.5","952","952","952","3.240623587393026","3.240623587393026","3.240623587393026"
"231","953","953","953","2.9127033452858755","2.9127033452858755","2.9127033452858755"
"232.5","954","954","954","2.7153275280454454","2.7153275280454454","2.7153275280454454"
"234","955","955","955","2.9956367574653453","2.9956367574653453","2.9956367574653453"
"235.5","956","956","956","3.344457958616948","3.344457958616948","3.344457958616948"
"237","957","957","957","3.0293889123719615","3.0293889123719615","3.0293889123719615"
"238.5","958","958","958","2.8967727495615123","2.8967727495615123","2.8967727495615123"
"240","959","959","959","3.318673906693845","3.318673906693845","3.318673906693845"
"241.5","960","960","960","3.5110943212612895","3.5110943212612895","3.5110943212612895"
"243","961","961","961","3.3488835050383408","3.3488835050383408","3.3488835050383408"
"244.5","962","962","962","3.0122128427762074","3.0122128427762074","3.0122128427762074"
"246","963","963","963","3.1961789333292647","3.1961789333292647","3.1961789333292647"
"247.5","964","964","964","3.28140070115532","3.28140070115532","3.28140070115532"
"249","965","965","965","2.795032868932122","2.795032868932122","2.795032868932122"
"250.5","966","966","966","2.6457623890936643","2.6457623890936643","2.6457623890936643"
"252","967","967","967","2.8831975207155542","2.8831975207155542","2.8831975207155542"
"253.5","968","968","968","3.427305970435867","3.427305970435867","3.427305970435867"
"255","969","969","969","3.2927670527924318","3.2927670527924318","3.2927670527924318"
"256.5","970","970","970","3.032329614568302","3.032329614568302","3.032329614568302"
"258","971","971","971","3.121314920181407","3.121314920181407","3.121314920181407"
"259.5","972","972","972","3.3287252797865627","3.3287252797865627","3.3287252797865627"
"261","973","973","973","3.3305171289573905","3.3305171289573905","3.3305171289573905"
"262.5","974","974","974","3.03979934099517","3.03979934099517","3.03979934099517"
"264","975","975","975","3.2641866065815104","3.2641866065815104","3.2641866065815104"
"265.5","976","976","976","3.3661720911675213","3.3661720911675213","3.3661720911675213"
"267","977","977","977","2.888287880892622","2.888287880892622","2.888287880892622"
"268.5","978","978","978","2.624813119626273","2.624813119626273","2.624813119626273"
"270","979","979","979","2.720569053094291","2.720569053094291","2.720569053094291"
"271.5","980","980","980","3.1090839678137545","3.1090839678137545","3.1090839678137545"
"273","981","981","981","3.2807776525394763","3.2807776525394763","3.2807776525394763"
"274.5","982","982","982","2.9595423262465403","2.9595423262465403","2.9595423262465403"
"276","983","983","983","3.0289335476757393","3.0289335476757393","3.0289335476757393"
"277.5","984","984","984","3.363779634351505","3.363779634351505","3.363779634351505"
"279","985","985","985","3.123377619400843","3.123377619400843","3.123377619400843"
"280.5","986","986","986","2.7091163660561843","2.7091163660561843","2.7091163660561843"
"282","987","987","987","2.597310463367121","2.597310463367121","2.597310463367121"
"283.5","988","988","988","2.9538476182625084","2.9538476182625084","2.9538476182625084"
"285","989","989","989","3.3051900001312498","3.3051900001312498","3.3051900001312498"
"286.5","990","990","990","3.0999623366025086","3.0999623366025086","3.0999623366025086"
"288","991","991","991","3.047146888804024","3.047146888804024","3.047146888804024"
"289.5","992","992","992","3.3420000489698527","3.3420000489698527","3.3420000489698527"
"291","993","993","993","3.1833504901179044","3.1833504901179044","3.1833504901179044"
"292.5","994","994","994","2.7739124870634813","2.7739124870634813","2.7739124870634813"
"294","995","995","995","2.535737894290471","2.535737894290471","2.535737894290471"
"295.5","996","996","996","2.8728067279416694","2.8728067279416694","2.8728067279416694"
"297","997","997","997","3.3296858780026857","3.3296858780026857","3.3296858780026857"
"298.5","998","998","998","3.1953529809370758","3.1953529809370758","3.1953529809370758"
